GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
FIS,src.main.java.products,Checkout.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Checkout.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Checkout.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,ProductTable,0,26,0,0,0,7,0,2,0,2
FIS,src.main.java.products,Checkout.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Prod.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Prod.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Prod.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Cart,5,14,0,0,2,5,1,3,1,3
FIS,src.main.java.products,Prod.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Prod.new Runnable() {...},10,0,0,0,3,0,2,0,2,0
FIS,src.main.java.products,Total,0,11,0,0,0,4,0,2,0,2
FIS,src.main.java.products,Search.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Search.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,Prod,233,430,7,1,50,76,9,2,5,2
FIS,src.main.java.products,Checkout,170,325,5,1,43,58,8,2,5,2
FIS,src.main.java.products,Product,0,27,0,0,0,10,0,2,0,2
FIS,src.main.java.products,Search.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.products,Search.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.products,OrderNumber,0,12,0,0,0,3,0,2,0,2
FIS,src.main.java.products,Search,142,188,6,0,39,34,7,2,4,2
FIS,src.main.java.products,Checkout.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.CheckStock,CheckStock.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.CheckStock,CheckStock.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.CheckStock,CheckStock.new DefaultTableModel() {...},5,44,0,0,1,2,1,1,1,1
FIS,src.main.java.CheckStock,CheckStock,86,343,4,4,21,62,4,5,2,3
FIS,src.main.java.ManagerPage,Manager.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManagerPage,Manager.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.ManagerPage,Manager.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManagerPage,Manager.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManagerPage,Manager.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManagerPage,Manager,132,331,4,0,39,59,9,2,7,2
FIS,src.main.java.ManagerPage,Manager.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManagerPage,Manager.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageProducts,ManageProducts.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.ManageProducts,ManageProducts.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageProducts,ManageProducts.new DefaultTableModel() {...},5,44,0,0,1,2,1,1,1,1
FIS,src.main.java.ManageProducts,ManageProducts.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageProducts,ManageProducts.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageProducts,ManageProducts.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageProducts,ManageProducts.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageProducts,ManageProducts,448,751,4,4,104,133,8,5,6,3
FIS,src.main.java.ViewOrders,ViewOrders,87,292,4,4,22,56,5,5,3,3
FIS,src.main.java.ViewOrders,ViewOrders.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ViewOrders,ViewOrders.new DefaultTableModel() {...},5,28,0,0,1,2,1,1,1,1
FIS,src.main.java.ViewOrders,ViewOrders.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.ViewOrders,ViewOrders.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new DefaultTableModel() {...},5,44,0,0,1,2,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem,262,751,6,4,64,129,14,5,11,3
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.DeleteItem,DeleteItem.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageRequests,ManageRequests.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageRequests,ManageRequests.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageRequests,ManageRequests.new ActionListener() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageRequests,ManageRequests.new Runnable() {...},9,0,0,0,3,0,2,0,2,0
FIS,src.main.java.ManageRequests,ManageRequests.new DefaultTableModel() {...},5,28,0,0,1,2,1,1,1,1
FIS,src.main.java.ManageRequests,ManageRequests.new MouseAdapter() {...},5,6,0,0,2,1,1,1,1,1
FIS,src.main.java.ManageRequests,ManageRequests,328,564,4,4,79,120,7,5,5,3
FIS,src.main.java.log,PasswordCompare,0,19,0,2,0,7,0,3,0,2
